Entry	Protein names	Length	Helix	Beta strand	Interacts with
O95479	GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (GDH) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]	791	HELIX 36..40; /evidence="ECO:0007829|PDB:8EM2"; HELIX 42..53; /evidence="ECO:0007829|PDB:8EM2"; HELIX 70..82; /evidence="ECO:0007829|PDB:8EM2"; HELIX 92..105; /evidence="ECO:0007829|PDB:8EM2"; HELIX 115..131; /evidence="ECO:0007829|PDB:8EM2"; HELIX 150..158; /evidence="ECO:0007829|PDB:8EM2"; HELIX 180..191; /evidence="ECO:0007829|PDB:8EM2"; HELIX 205..207; /evidence="ECO:0007829|PDB:8EM2"; HELIX 211..213; /evidence="ECO:0007829|PDB:8EM2"; HELIX 214..219; /evidence="ECO:0007829|PDB:8EM2"; HELIX 231..233; /evidence="ECO:0007829|PDB:8EM2"; HELIX 258..262; /evidence="ECO:0007829|PDB:8EM2"; HELIX 263..267; /evidence="ECO:0007829|PDB:8EM2"; HELIX 268..275; /evidence="ECO:0007829|PDB:8EM2"; HELIX 287..298; /evidence="ECO:0007829|PDB:8EM2"; HELIX 314..323; /evidence="ECO:0007829|PDB:8EM2"; HELIX 383..385; /evidence="ECO:0007829|PDB:8EM2"; HELIX 443..445; /evidence="ECO:0007829|PDB:8EM2"; HELIX 457..467; /evidence="ECO:0007829|PDB:8EM2"; HELIX 470..472; /evidence="ECO:0007829|PDB:8EM2"; HELIX 476..492; /evidence="ECO:0007829|PDB:8EM2"; HELIX 504..506; /evidence="ECO:0007829|PDB:8EM2"	STRAND 25..30; /evidence="ECO:0007829|PDB:8EM2"; STRAND 60..68; /evidence="ECO:0007829|PDB:8EM2"; STRAND 107..110; /evidence="ECO:0007829|PDB:8EM2"; STRAND 112..114; /evidence="ECO:0007829|PDB:8EM2"; STRAND 135..141; /evidence="ECO:0007829|PDB:8EM2"; STRAND 163..165; /evidence="ECO:0007829|PDB:8EM2"; STRAND 170..172; /evidence="ECO:0007829|PDB:8EM2"; STRAND 200..202; /evidence="ECO:0007829|PDB:8EM2"; STRAND 234..242; /evidence="ECO:0007829|PDB:8EM2"; STRAND 247..249; /evidence="ECO:0007829|PDB:8EM2"; STRAND 308..313; /evidence="ECO:0007829|PDB:8EM2"; STRAND 336..342; /evidence="ECO:0007829|PDB:8EM2"; STRAND 346..351; /evidence="ECO:0007829|PDB:8EM2"; STRAND 354..361; /evidence="ECO:0007829|PDB:8EM2"; STRAND 366..373; /evidence="ECO:0007829|PDB:8EM2"; STRAND 392..394; /evidence="ECO:0007829|PDB:8EM2"; STRAND 397..404; /evidence="ECO:0007829|PDB:8EM2"; STRAND 411..415; /evidence="ECO:0007829|PDB:8EM2"; STRAND 427..429; /evidence="ECO:0007829|PDB:8EM2"; STRAND 446..453; /evidence="ECO:0007829|PDB:8EM2"; STRAND 499..501; /evidence="ECO:0007829|PDB:8EM2"; STRAND 513..516; /evidence="ECO:0007829|PDB:8EM2"; STRAND 519..524; /evidence="ECO:0007829|PDB:8EM2"	
O95497	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	513	HELIX 46..69; /evidence="ECO:0007829|PDB:7SLV"; HELIX 89..92; /evidence="ECO:0007829|PDB:7SLV"; HELIX 93..95; /evidence="ECO:0007829|PDB:7SLV"; HELIX 102..104; /evidence="ECO:0007829|PDB:7SLV"; HELIX 119..130; /evidence="ECO:0007829|PDB:7SLV"; HELIX 211..215; /evidence="ECO:0007829|PDB:7SLV"; HELIX 220..225; /evidence="ECO:0007829|PDB:7SLV"; HELIX 247..258; /evidence="ECO:0007829|PDB:7SLV"; HELIX 270..272; /evidence="ECO:0007829|PDB:7SLV"; HELIX 318..322; /evidence="ECO:0007829|PDB:7SLV"; HELIX 408..410; /evidence="ECO:0007829|PDB:7SLV"; HELIX 480..482; /evidence="ECO:0007829|PDB:7SLV"	STRAND 24..32; /evidence="ECO:0007829|PDB:7SLV"; STRAND 73..76; /evidence="ECO:0007829|PDB:7SLV"; STRAND 133..144; /evidence="ECO:0007829|PDB:7SLV"; STRAND 156..166; /evidence="ECO:0007829|PDB:7SLV"; STRAND 172..177; /evidence="ECO:0007829|PDB:7SLV"; STRAND 198..201; /evidence="ECO:0007829|PDB:7SLV"; STRAND 204..208; /evidence="ECO:0007829|PDB:7SLV"; STRAND 230..236; /evidence="ECO:0007829|PDB:7SLV"; STRAND 261..267; /evidence="ECO:0007829|PDB:7SLV"; STRAND 277..280; /evidence="ECO:0007829|PDB:7SLV"; STRAND 282..289; /evidence="ECO:0007829|PDB:7SLV"; STRAND 298..307; /evidence="ECO:0007829|PDB:7SLV"; STRAND 332..337; /evidence="ECO:0007829|PDB:7SLV"; STRAND 340..346; /evidence="ECO:0007829|PDB:7SLV"; STRAND 349..358; /evidence="ECO:0007829|PDB:7SLV"; STRAND 361..371; /evidence="ECO:0007829|PDB:7SLV"; STRAND 378..387; /evidence="ECO:0007829|PDB:7SLV"; STRAND 393..402; /evidence="ECO:0007829|PDB:7SLV"; STRAND 404..407; /evidence="ECO:0007829|PDB:7SLV"; STRAND 422..429; /evidence="ECO:0007829|PDB:7SLV"; STRAND 432..434; /evidence="ECO:0007829|PDB:7SLV"; STRAND 436..442; /evidence="ECO:0007829|PDB:7SLV"; STRAND 451..454; /evidence="ECO:0007829|PDB:7SLV"; STRAND 460..465; /evidence="ECO:0007829|PDB:7SLV"; STRAND 470..478; /evidence="ECO:0007829|PDB:7SLV"	
O95528	Solute carrier family 2, facilitated glucose transporter member 10 (Glucose transporter type 10) (GLUT-10)	541			
O95544	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	446	HELIX 116..118; /evidence="ECO:0007829|PDB:3PFN"; HELIX 119..129; /evidence="ECO:0007829|PDB:9CRA"; HELIX 140..143; /evidence="ECO:0007829|PDB:9CRA"; HELIX 146..149; /evidence="ECO:0007829|PDB:9CRA"; HELIX 155..158; /evidence="ECO:0007829|PDB:9CRA"; HELIX 184..193; /evidence="ECO:0007829|PDB:9CRA"; HELIX 220..229; /evidence="ECO:0007829|PDB:9CRA"; HELIX 321..323; /evidence="ECO:0007829|PDB:9CRA"; HELIX 327..330; /evidence="ECO:0007829|PDB:9CRA"; HELIX 413..423; /evidence="ECO:0007829|PDB:9CRA"	STRAND 78..80; /evidence="ECO:0007829|PDB:3PFN"; STRAND 87..91; /evidence="ECO:0007829|PDB:3PFN"; STRAND 97..102; /evidence="ECO:0007829|PDB:3PFN"; STRAND 106..110; /evidence="ECO:0007829|PDB:9CRA"; STRAND 135..137; /evidence="ECO:0007829|PDB:9CRA"; STRAND 162..164; /evidence="ECO:0007829|PDB:3PFN"; STRAND 176..183; /evidence="ECO:0007829|PDB:9CRA"; STRAND 195..197; /evidence="ECO:0007829|PDB:3PFN"; STRAND 201..208; /evidence="ECO:0007829|PDB:9CRA"; STRAND 215..217; /evidence="ECO:0007829|PDB:9CRA"; STRAND 233..237; /evidence="ECO:0007829|PDB:9CRA"; STRAND 240..245; /evidence="ECO:0007829|PDB:9CRA"; STRAND 278..289; /evidence="ECO:0007829|PDB:9CRA"; STRAND 297..303; /evidence="ECO:0007829|PDB:9CRA"; STRAND 306..316; /evidence="ECO:0007829|PDB:9CRA"; STRAND 342..345; /evidence="ECO:0007829|PDB:9CRA"; STRAND 347..351; /evidence="ECO:0007829|PDB:9CRA"; STRAND 358..361; /evidence="ECO:0007829|PDB:9CRA"; STRAND 366..370; /evidence="ECO:0007829|PDB:9CRA"; STRAND 378..384; /evidence="ECO:0007829|PDB:9CRA"; STRAND 387..390; /evidence="ECO:0007829|PDB:9CRA"; STRAND 395..400; /evidence="ECO:0007829|PDB:9CRA"; STRAND 405..411; /evidence="ECO:0007829|PDB:9CRA"	Q49AN0; Q9H5Z6-2; Q8TBB1; O00560; P61981; P63104; Q06892; P32622
O95571	Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)	254	HELIX 55..57; /evidence="ECO:0007829|PDB:4CHL"; HELIX 58..68; /evidence="ECO:0007829|PDB:4CHL"; HELIX 88..94; /evidence="ECO:0007829|PDB:4CHL"; HELIX 104..106; /evidence="ECO:0007829|PDB:4CHL"; HELIX 171..181; /evidence="ECO:0007829|PDB:4CHL"; HELIX 205..211; /evidence="ECO:0007829|PDB:4CHL"; HELIX 219..228; /evidence="ECO:0007829|PDB:4CHL"; HELIX 237..245; /evidence="ECO:0007829|PDB:4CHL"	STRAND 24..30; /evidence="ECO:0007829|PDB:4CHL"; STRAND 35..41; /evidence="ECO:0007829|PDB:4CHL"; STRAND 47..52; /evidence="ECO:0007829|PDB:4CHL"; STRAND 71..76; /evidence="ECO:0007829|PDB:4CHL"; STRAND 82..84; /evidence="ECO:0007829|PDB:4CHL"; STRAND 99..103; /evidence="ECO:0007829|PDB:4CHL"; STRAND 111..114; /evidence="ECO:0007829|PDB:4CHL"; STRAND 119..122; /evidence="ECO:0007829|PDB:4CHL"; STRAND 125..131; /evidence="ECO:0007829|PDB:4CHL"; STRAND 134..136; /evidence="ECO:0007829|PDB:4CHL"; STRAND 140..144; /evidence="ECO:0007829|PDB:4CHL"; STRAND 147..153; /evidence="ECO:0007829|PDB:4CHL"; STRAND 190..195; /evidence="ECO:0007829|PDB:4CHL"; STRAND 197..199; /evidence="ECO:0007829|PDB:4CHL"	Q7Z3C6-3; O95571; Q9H8Y8; Q3LHN2; Q99757
O95622	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)	1261			
O95630	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	424	HELIX 11..22; /evidence="ECO:0007829|PDB:2XZE"; HELIX 33..53; /evidence="ECO:0007829|PDB:2XZE"; HELIX 56..71; /evidence="ECO:0007829|PDB:2XZE"; HELIX 74..76; /evidence="ECO:0007829|PDB:2XZE"; HELIX 88..97; /evidence="ECO:0007829|PDB:2XZE"; HELIX 99..137; /evidence="ECO:0007829|PDB:2XZE"; HELIX 263..276; /evidence="ECO:0007829|PDB:3RZV"; HELIX 316..326; /evidence="ECO:0007829|PDB:3RZV"; HELIX 346..358; /evidence="ECO:0007829|PDB:3RZV"; HELIX 381..389; /evidence="ECO:0007829|PDB:3RZV"	STRAND 257..260; /evidence="ECO:0007829|PDB:3RZV"; STRAND 282..290; /evidence="ECO:0007829|PDB:3RZV"; STRAND 293..301; /evidence="ECO:0007829|PDB:3RZV"; STRAND 304..306; /evidence="ECO:0007829|PDB:3RZV"; STRAND 311..313; /evidence="ECO:0007829|PDB:3RZV"; STRAND 329..336; /evidence="ECO:0007829|PDB:3RZV"; STRAND 338..340; /evidence="ECO:0007829|PDB:3RZU"; STRAND 363..368; /evidence="ECO:0007829|PDB:3RZV"; STRAND 373..379; /evidence="ECO:0007829|PDB:3RZV"; STRAND 404..407; /evidence="ECO:0007829|PDB:3RZV"; STRAND 409..414; /evidence="ECO:0007829|PDB:3RZV"; STRAND 419..422; /evidence="ECO:0007829|PDB:3RZV"	P31941; P54253; Q9NSY1; P48643; Q8IVW4; Q9HD42; Q7LBR1; O43633; Q9Y3E7; Q9Y3E7-1; Q9H444; Q9NZZ3; O75791; P62993; Q8WXH2; O60260-5; Q9Y3C5; O43541-2; Q92783; O75886; Q13148; Q15645; P0CG47
O95670	V-type proton ATPase subunit G 2 (V-ATPase subunit G 2) (V-ATPase 13 kDa subunit 2) (Vacuolar proton pump subunit G 2)	118			Q96A05; Q9Y2K6
O95674	Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)	445			Q92870-2; P55212; Q92903; P28329-3; Q7Z7G2; G5E9A7; Q9Y282; Q5JX71; P22607; Q8TDT2; Q8TED1; Q14957; P06396; P31937; P01112; P42858; Q13651; Q96MG2; P13473-2; A8MZ59; Q8TAF8; Q95460-2; Q9H2K0; Q9HB07; O75400-2; P62826; Q9H9V4; Q7Z699; Q8WWF3; P31948; Q9NPL8; Q8IV31; Q96B21; Q9Y320; Q86WV8; O95859; Q9UMX0; Q9Y649
O95714	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	4834	HELIX 446..449; /evidence="ECO:0007829|PDB:4L1M"; HELIX 523..525; /evidence="ECO:0007829|PDB:4L1M"; HELIX 542..544; /evidence="ECO:0007829|PDB:4L1M"; HELIX 549..551; /evidence="ECO:0007829|PDB:4L1M"; HELIX 579..581; /evidence="ECO:0007829|PDB:4L1M"; HELIX 598..600; /evidence="ECO:0007829|PDB:4L1M"; HELIX 633..635; /evidence="ECO:0007829|PDB:4L1M"; HELIX 652..654; /evidence="ECO:0007829|PDB:4L1M"; HELIX 685..687; /evidence="ECO:0007829|PDB:4L1M"; HELIX 704..706; /evidence="ECO:0007829|PDB:4L1M"; HELIX 1212..1221; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1235..1242; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1250..1252; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1257..1266; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1270..1273; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1274..1277; /evidence="ECO:0007829|PDB:2KEO"; HELIX 1285..1288; /evidence="ECO:0007829|PDB:2KEO"; HELIX 2733..2738; /evidence="ECO:0007829|PDB:6WW3"; HELIX 2782..2785; /evidence="ECO:0007829|PDB:7RGW"; HELIX 2795..2799; /evidence="ECO:0007829|PDB:7RGW"; HELIX 2800..2803; /evidence="ECO:0007829|PDB:7RGW"; HELIX 2839..2844; /evidence="ECO:0007829|PDB:7RGW"; HELIX 2896..2898; /evidence="ECO:0007829|PDB:7RGW"; HELIX 2987..2990; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3020..3022; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3040..3042; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3075..3077; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3094..3096; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3127..3129; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3146..3148; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3181..3183; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3200..3202; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3233..3235; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3252..3254; /evidence="ECO:0007829|PDB:7Q42"; HELIX 3980..3984; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4013..4015; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4032..4034; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4067..4069; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4086..4088; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4119..4121; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4138..4140; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4173..4175; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4192..4194; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4225..4227; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4244..4246; /evidence="ECO:0007829|PDB:3KCI"; HELIX 4296..4298; /evidence="ECO:0007829|PDB:3KCI"	STRAND 425..430; /evidence="ECO:0007829|PDB:4L1M"; STRAND 453..458; /evidence="ECO:0007829|PDB:4L1M"; STRAND 460..467; /evidence="ECO:0007829|PDB:4L1M"; STRAND 472..476; /evidence="ECO:0007829|PDB:4L1M"; STRAND 495..499; /evidence="ECO:0007829|PDB:4L1M"; STRAND 505..511; /evidence="ECO:0007829|PDB:4L1M"; STRAND 516..520; /evidence="ECO:0007829|PDB:4L1M"; STRAND 528..531; /evidence="ECO:0007829|PDB:4L1M"; STRAND 535..540; /evidence="ECO:0007829|PDB:4L1M"; STRAND 552..558; /evidence="ECO:0007829|PDB:4L1M"; STRAND 560..567; /evidence="ECO:0007829|PDB:4L1M"; STRAND 572..576; /evidence="ECO:0007829|PDB:4L1M"; STRAND 585..587; /evidence="ECO:0007829|PDB:4L1M"; STRAND 591..596; /evidence="ECO:0007829|PDB:4L1M"; STRAND 605..610; /evidence="ECO:0007829|PDB:4L1M"; STRAND 616..621; /evidence="ECO:0007829|PDB:4L1M"; STRAND 626..630; /evidence="ECO:0007829|PDB:4L1M"; STRAND 638..642; /evidence="ECO:0007829|PDB:4L1M"; STRAND 645..650; /evidence="ECO:0007829|PDB:4L1M"; STRAND 659..665; /evidence="ECO:0007829|PDB:4L1M"; STRAND 668..673; /evidence="ECO:0007829|PDB:4L1M"; STRAND 678..682; /evidence="ECO:0007829|PDB:4L1M"; STRAND 691..693; /evidence="ECO:0007829|PDB:4L1M"; STRAND 697..702; /evidence="ECO:0007829|PDB:4L1M"; STRAND 711..716; /evidence="ECO:0007829|PDB:4L1M"; STRAND 718..725; /evidence="ECO:0007829|PDB:4L1M"; STRAND 730..735; /evidence="ECO:0007829|PDB:4L1M"; STRAND 746..754; /evidence="ECO:0007829|PDB:4L1M"; STRAND 763..768; /evidence="ECO:0007829|PDB:4L1M"; STRAND 770..777; /evidence="ECO:0007829|PDB:4L1M"; STRAND 1225..1228; /evidence="ECO:0007829|PDB:2KEO"; STRAND 1231..1234; /evidence="ECO:0007829|PDB:2KEO"; STRAND 1278..1282; /evidence="ECO:0007829|PDB:2KEO"; STRAND 2714..2718; /evidence="ECO:0007829|PDB:6WW3"; STRAND 2720..2728; /evidence="ECO:0007829|PDB:6WW3"; STRAND 2747..2752; /evidence="ECO:0007829|PDB:6WW3"; STRAND 2786..2793; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2818..2824; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2828..2836; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2845..2856; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2861..2867; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2873..2880; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2886..2895; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2906..2913; /evidence="ECO:0007829|PDB:7RGW"; STRAND 2961..2966; /evidence="ECO:0007829|PDB:7Q42"; STRAND 2976..2985; /evidence="ECO:0007829|PDB:7Q42"; STRAND 2994..3000; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3003..3008; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3013..3018; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3030..3038; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3047..3051; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3057..3063; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3068..3072; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3081..3083; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3087..3092; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3097..3099; /evidence="ECO:0007829|PDB:7Q43"; STRAND 3101..3106; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3108..3115; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3120..3124; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3133..3135; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3139..3144; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3153..3158; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3160..3162; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3164..3169; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3174..3178; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3186..3190; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3193..3198; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3207..3212; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3214..3221; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3226..3230; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3239..3241; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3245..3250; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3259..3264; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3266..3273; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3278..3282; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3291..3294; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3297..3302; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3313..3316; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3318..3324; /evidence="ECO:0007829|PDB:7Q42"; STRAND 3954..3959; /evidence="ECO:0007829|PDB:3KCI"; STRAND 3971..3978; /evidence="ECO:0007829|PDB:3KCI"; STRAND 3987..3993; /evidence="ECO:0007829|PDB:3KCI"; STRAND 3996..4001; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4006..4010; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4018..4022; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4025..4030; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4039..4043; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4049..4055; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4060..4064; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4073..4075; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4079..4084; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4093..4098; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4100..4107; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4112..4116; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4125..4127; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4131..4136; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4145..4150; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4156..4161; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4165..4170; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4178..4181; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4185..4190; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4199..4205; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4208..4213; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4218..4222; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4231..4233; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4237..4242; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4251..4256; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4258..4265; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4270..4274; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4283..4285; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4289..4294; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4305..4309; /evidence="ECO:0007829|PDB:3KCI"; STRAND 4312..4316; /evidence="ECO:0007829|PDB:3KCI"	P10398; P15056; Q9UJU6; Q9NRI5; Q9UKA1; P04049; Q9BXG8; Q05086-2; P23025
O95741	Copine-6 (Copine VI) (Neuronal-copine) (N-copine)	557			P50222; O95994
O95750	Fibroblast growth factor 19 (FGF-19)	216	HELIX 76..78; /evidence="ECO:0007829|PDB:1PWA"; HELIX 105..107; /evidence="ECO:0007829|PDB:1PWA"; HELIX 117..120; /evidence="ECO:0007829|PDB:1PWA"; HELIX 150..152; /evidence="ECO:0007829|PDB:2P23"; HELIX 153..156; /evidence="ECO:0007829|PDB:2P23"	STRAND 42..49; /evidence="ECO:0007829|PDB:1PWA"; STRAND 58..62; /evidence="ECO:0007829|PDB:1PWA"; STRAND 66..73; /evidence="ECO:0007829|PDB:1PWA"; STRAND 80..86; /evidence="ECO:0007829|PDB:1PWA"; STRAND 89..94; /evidence="ECO:0007829|PDB:1PWA"; STRAND 100..103; /evidence="ECO:0007829|PDB:1PWA"; STRAND 109..114; /evidence="ECO:0007829|PDB:1PWA"; STRAND 121..126; /evidence="ECO:0007829|PDB:1PWA"; STRAND 132..136; /evidence="ECO:0007829|PDB:1PWA"; STRAND 165..168; /evidence="ECO:0007829|PDB:1PWA"	
O95758	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	552			
O95777	U6 snRNA-associated Sm-like protein LSm8	96			Q14203-5; P42858; Q9Y333; P62310; Q9Y4Z0; P62312; Q9UK45; A0A6Q8PF08; O60260-5; O43172; Q15020; P37840; P00441; Q13148; P09936
O95782	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	977			O00291; Q01968; Q15287
O95793	Double-stranded RNA-binding protein Staufen homolog 1	577	HELIX 185..195; /evidence="ECO:0007829|PDB:6HTU"; HELIX 211..213; /evidence="ECO:0007829|PDB:6HTU"; HELIX 234..249; /evidence="ECO:0007829|PDB:6HTU"; HELIX 287..292; /evidence="ECO:0007829|PDB:6HTU"; HELIX 337..346; /evidence="ECO:0007829|PDB:6HTU"; HELIX 448..462; /evidence="ECO:0007829|PDB:4DKK"; HELIX 466..472; /evidence="ECO:0007829|PDB:4DKK"; HELIX 489..500; /evidence="ECO:0007829|PDB:4DKK"; HELIX 538..553; /evidence="ECO:0007829|PDB:4DKK"	STRAND 200..209; /evidence="ECO:0007829|PDB:6HTU"; STRAND 215..222; /evidence="ECO:0007829|PDB:6HTU"; STRAND 225..233; /evidence="ECO:0007829|PDB:6HTU"; STRAND 256..258; /evidence="ECO:0007829|PDB:6SDW"; STRAND 304..308; /evidence="ECO:0007829|PDB:6HTU"; STRAND 319..324; /evidence="ECO:0007829|PDB:6HTU"; STRAND 329..332; /evidence="ECO:0007829|PDB:6SDW"; STRAND 333..336; /evidence="ECO:0007829|PDB:6HTU"; STRAND 504..509; /evidence="ECO:0007829|PDB:4DKK"; STRAND 517..523; /evidence="ECO:0007829|PDB:4DKK"; STRAND 525..527; /evidence="ECO:0007829|PDB:4DKK"; STRAND 529..537; /evidence="ECO:0007829|PDB:4DKK"	P78563-4; P05067-4; P13569; O76003; Q9NZI8; Q17RB8; O15226; Q9UKK6; O75569; P62424; P05388; Q96SI9; Q92900; Q9HA38; Q60793; P03496; Q96H20; P04591; PRO_0000038594 [P04591]
O95807	Transmembrane protein 50A (Small membrane protein 1)	157			Q9H172; Q13520; P21964; Q95HB9; O15243; O95214; Q9H6H4; Q8IWU4; Q86SS6; Q9NUH8
O95835	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	1130	HELIX 72..74; /evidence="ECO:0007829|PDB:7LWH"; HELIX 75..85; /evidence="ECO:0007829|PDB:7LWH"; HELIX 86..88; /evidence="ECO:0007829|PDB:7LWH"; HELIX 637..671; /evidence="ECO:0007829|PDB:5BRK"; HELIX 675..697; /evidence="ECO:0007829|PDB:5BRK"		P06493; P24941; Q9Y4B6; P03372; P53667; Q9H8S9; Q7L9L4; P35240; O60285; O43255; Q13485; Q15831; Q9GZV5; P46937; Q15942; P46662; O15145; Q9UHD9
